date,countryCode,cpo,emsp,total,generatedAt,staleSources
2026-06-16,AT,1108,0,1108,2026-06-16T06:34:16.059Z,
2026-06-16,BE,204,153,357,2026-06-16T06:34:16.059Z,
2026-06-16,CH,91,69,160,2026-06-16T06:34:16.059Z,
2026-06-16,DE,1640,1436,3076,2026-06-16T06:34:16.059Z,
2026-06-16,DK,56,25,81,2026-06-16T06:34:16.059Z,
2026-06-16,ES,237,77,314,2026-06-16T06:34:16.059Z,
2026-06-16,FI,23,17,40,2026-06-16T06:34:16.059Z,
2026-06-16,FR,580,146,726,2026-06-16T06:34:16.059Z,
2026-06-16,GB,101,93,194,2026-06-16T06:34:16.059Z,
2026-06-16,GR,81,50,131,2026-06-16T06:34:16.059Z,
2026-06-16,HU,0,1,1,2026-06-16T06:34:16.059Z,
2026-06-16,IE,50,39,89,2026-06-16T06:34:16.059Z,
2026-06-16,LT,8,0,8,2026-06-16T06:34:16.059Z,
2026-06-16,LU,125,100,225,2026-06-16T06:34:16.059Z,
2026-06-16,LV,9,6,15,2026-06-16T06:34:16.059Z,
2026-06-16,NL,199,166,365,2026-06-16T06:34:16.059Z,
2026-06-16,PL,716,123,839,2026-06-16T06:34:16.059Z,
2026-06-16,PT,72,26,98,2026-06-16T06:34:16.059Z,
2026-06-16,SE,49,3,52,2026-06-16T06:34:16.059Z,
2026-06-16,SI,27,29,56,2026-06-16T06:34:16.059Z,
