key,countryCode,partyId,eMobilityId,role,status,organizationName,legalName,website,registryId,official,sourceRecordId,sourceUrl,sourceValue,firstSeenAt,lastSeenAt,retrievedAt
"at-ladestellen:AT:000:CPO","AT","000","AT000","CPO","ACTIVE","Marktgemeinde Reichenau i.M.","Marktgemeinde Reichenau i.M.","","at-ladestellen","true","AT000","https://admin.ladestellen.at/#/registrierte-ids","AT*000","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:001:CPO","AT","001","AT001","CPO","ACTIVE","Smart Mobility Power GmbH","Smart Mobility Power GmbH","","at-ladestellen","true","AT001","https://admin.ladestellen.at/#/registrierte-ids","AT*001","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:002:CPO","AT","002","AT002","CPO","ACTIVE","Smart Mobility Power GmbH","Smart Mobility Power GmbH","","at-ladestellen","true","AT002","https://admin.ladestellen.at/#/registrierte-ids","AT*002","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:003:CPO","AT","003","AT003","CPO","ACTIVE","ATC Objektmanagement GmbH","ATC Objektmanagement GmbH","","at-ladestellen","true","AT003","https://admin.ladestellen.at/#/registrierte-ids","AT*003","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:005:CPO","AT","005","AT005","CPO","ACTIVE","Elektrizitätswerke Reutte AG","Elektrizitätswerke Reutte AG","","at-ladestellen","true","AT005","https://admin.ladestellen.at/#/registrierte-ids","AT*005","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:006:CPO","AT","006","AT006","CPO","ACTIVE","EPI - Energietechnik GmbH","EPI - Energietechnik GmbH","","at-ladestellen","true","AT006","https://admin.ladestellen.at/#/registrierte-ids","AT*006","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:007:CPO","AT","007","AT007","CPO","ACTIVE","arx GmbH","arx GmbH","","at-ladestellen","true","AT007","https://admin.ladestellen.at/#/registrierte-ids","AT*007","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:008:CPO","AT","008","AT008","CPO","ACTIVE","Autohaus Felber GmbH","Autohaus Felber GmbH","","at-ladestellen","true","AT008","https://admin.ladestellen.at/#/registrierte-ids","AT*008","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:009:CPO","AT","009","AT009","CPO","ACTIVE","Manfred Unger","","","at-ladestellen","true","AT009","https://admin.ladestellen.at/#/registrierte-ids","AT*009","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:010:CPO","AT","010","AT010","CPO","ACTIVE","Romana Panhuber","","","at-ladestellen","true","AT010","https://admin.ladestellen.at/#/registrierte-ids","AT*010","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:011:CPO","AT","011","AT011","CPO","ACTIVE","Tulln Energie","Tulln Energie","","at-ladestellen","true","AT011","https://admin.ladestellen.at/#/registrierte-ids","AT*011","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:012:CPO","AT","012","AT012","CPO","ACTIVE","Unspecified Ladestellen.at operator for 012","","","at-ladestellen","true","AT012","https://admin.ladestellen.at/#/registrierte-ids","AT*012","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:013:CPO","AT","013","AT013","CPO","ACTIVE","Kitz IT-SOLUTIONS GmbH","Kitz IT-SOLUTIONS GmbH","","at-ladestellen","true","AT013","https://admin.ladestellen.at/#/registrierte-ids","AT*013","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
"at-ladestellen:AT:014:CPO","AT","014","AT014","CPO","ACTIVE","Elektrizitätswerk der Stadtgemeinde Kindberg","Elektrizitätswerk der Stadtgemeinde Kindberg","","at-ladestellen","true","AT014","https://admin.ladestellen.at/#/registrierte-ids","AT*014","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z","2026-06-14T21:48:22.792Z"
